Composition,YS (MPa)
Al0.0154Co0.1231Cr0.1231Cu0.1231Fe0.1231Mn0.1231Ni0.1231Ti0.1231V0.1231,1862
Al0.0174Cu0.3275Mn0.3275Ni0.3275,330
Al0.0196Co0.1961Cr0.1961Fe0.1961Mn0.1961Ni0.1961,1631
Al0.0196Cr0.1961Fe0.3922Mn0.2451Ni0.1471,354
Al0.0303Co0.1212Cr0.1212Cu0.1212Fe0.1212Mn0.1212Ni0.1212Ti0.1212V0.1212,1465
Al0.0357Cu0.3214Mn0.3214Ni0.3214,515
Al0.0385Co0.1923Cr0.1923Fe0.1923Mn0.1923Ni0.1923,220
Al0.0455Co0.1818Cr0.1818Cu0.1364Fe0.1818Ni0.1818Ti0.0909,750
Al0.0476Mo0.2381Ta0.2381Ti0.2381V0.2381,1021
Al0.0566Co0.1887Cr0.1887Fe0.1887Mn0.1887Ni0.1887,1836
Al0.0566Cr0.1887Fe0.3774Mn0.2358Ni0.1415,550
Al0.0566Hf0.1887Nb0.1887Ta0.1887Ti0.1887Zr0.1887,1188
Al0.0566Nb0.2358Ti0.2358V0.2358Zr0.2358,1240
Al0.0588Mo0.2353Nb0.2353Ti0.2353V0.2353,1250
Al0.0588Nb0.2353Ta0.2353Ti0.2353V0.2353,1330
Al0.0588Nb0.2353Ta0.2353Ti0.2353Zr0.2353,1745
Al0.0599Nb0.1999Ta0.1599Ti0.28V0.04Zr0.2602,1965
Al0.0599Nb0.1999Ta0.1999Ti0.28Zr0.2602,1965
Al0.0706Co0.1859Cr0.1859Fe0.1859Mn0.1859Ni0.1859,244
Al0.0769Co0.3077Fe0.3077Ni0.3077,158
Al0.077Co0.1154Cr0.1154Cu0.1154Fe0.1154Mn0.1154Ni0.1154Ti0.1154V0.1154,1461
Al0.077Co0.2884Cr0.1923Fe0.1923Ni0.1923Ti0.0577,2012
Al0.0792Co0.1842Cr0.1842Fe0.1842Mn0.1842Ni0.1842,285
Al0.0893Co0.1821Cr0.1821Fe0.1821Mn0.1821Ni0.1821,331
Al0.08Hf0.12Nb0.2Ta0.2Ti0.2Zr0.2,1841
Al0.0909Co0.1818Cr0.1818Cu0.0909Fe0.1818Ni0.1818Ti0.0909,1580
Al0.0909Co0.1818Cr0.1818Fe0.1818Mn0.1818Ni0.1818,1932
Al0.0909Cr0.1818Fe0.3636Mn0.2273Ni0.1364,994
Al0.0909Hf0.1818Nb0.1818Ta0.1818Ti0.1818Zr0.1818,1302
Al0.0999Nb0.2001Ta0.1599Ti0.3V0.0399Zr0.2001,2035
Al0.1007Co0.1799Cr0.1799Fe0.1799Mn0.1799Ni0.1799,526
Al0.1103Co0.1779Cr0.1779Fe0.1779Mn0.1779Ni0.1779,833
Al0.1111Cr0.2222Fe0.2222Mn0.2222Ni0.2222,1091
Al0.1111Mo0.1111Nb0.2222Ta0.1111Ti0.2222Zr0.2222,2350
Al0.1111Mo0.2222Nb0.2222Ti0.2222V0.2222,1625
Al0.1111Nb0.2222Ta0.2222Ti0.2222V0.2222,1014
Al0.1228Co0.1754Cr0.1754Fe0.1754Mn0.1754Ni0.1754,2230
Al0.1228Cr0.1754Fe0.3509Mn0.2193Ni0.1316,942
Al0.12Cr0.2001Fe0.2001Ni0.4798,441
Al0.1304Cr0.2174Fe0.2174Mn0.2174Ni0.2174,1130
Al0.1304Hf0.1739Nb0.1739Ta0.1739Ti0.1739Zr0.1739,1415
Al0.1304Mo0.2174Ta0.2174Ti0.2174V0.2174,962
Al0.1334Co0.1666Cr0.1666Fe0.1666Ni0.1666Ti0.2,1272
Al0.1364Co0.1818Cr0.1818Cu0.0455Fe0.1818Ni0.1818Ti0.0909,1900
Al0.1398Cr0.2001Fe0.2001Ni0.46,461
Al0.1428Co0.1428Cu0.1428Fe0.1428Ni0.4288,268
Al0.1429Co0.1429Cr0.1429Cu0.1429Fe0.1429Mn0.1429Ni0.1429,1005
Al0.1429Co0.1429Cr0.1429Cu0.1429Fe0.1429Ni0.1429V0.1429,1469
Al0.1429Co0.2857Fe0.2857Ni0.2857,346
Al0.1454Ca0.0098Li0.3691Mg0.466Si0.0098,360
Al0.1489Cr0.2128Fe0.2128Mn0.2128Ni0.2128,1170
Al0.1499Ca0.005Li0.38Mg0.4502Si0.0149,342
Al0.1499Ca0.005Li0.3902Mg0.45Si0.005,300
Al0.1501Ca0.1001Li0.3499Mg0.3499Si0.05,418
Al0.1539C0.2307Co0.1539Cr0.1539Fe0.1539Ni0.1539,1255
Al0.1539Co0.1539Cr0.1539Fe0.1539Ni0.1539Ti0.2307,2220
Al0.1579Mo0.2105Nb0.2105Ti0.2105V0.2105,1260
Al0.1601Cr0.2001Fe0.2001Ni0.4398,479
Al0.1608Co0.1608Cr0.1608Fe0.1608Ni0.3566,545
Al0.1626Co0.1626Cr0.1626Fe0.1626Ni0.3497,545
Al0.1667C0.1667Co0.1667Cr0.1667Fe0.1667Ni0.1667,1251
Al0.1667Co0.1667Cr0.1667Fe0.1667Ni0.1667Si0.1667,2411
Al0.1667Co0.1667Cu0.1667Fe0.1667Ni0.1667Ti0.1667,1612
Al0.1667Co0.1667Cu0.1667Fe0.1667Ni0.3333,544
Al0.1667Cr0.2083Fe0.2083Mn0.2083Ni0.2083,1200
Al0.1667Hf0.1667Nb0.1667Ta0.1667Ti0.1667Zr0.1667,1489
Al0.1679Co0.1679Cr0.1679Fe0.1679Ni0.3285,545
Al0.16Co0.2Cr0.2Fe0.2Ni0.2Ti0.04,968
Al0.1724Co0.1724Cr0.1724Fe0.1724Ni0.1724Si0.1379,2179
Al0.175Co0.075Cr0.25Fe0.25Ni0.25,2033
Al0.1786Co0.1786Cr0.1786Fe0.1786Ni0.1786Si0.1071,1834
Al0.1799Co0.3003Cr0.0999Fe0.0999Ni0.3201,1129.4
Al0.17Cr0.17Fe0.33Ni0.33,796
Al0.1802Cr0.1999Fe0.1999Ni0.42,610
Al0.1818C0.0909Co0.1818Cr0.1818Fe0.1818Ni0.1818,1060
Al0.1818Co0.1818Cr0.1818Fe0.1818Mo0.0909Ni0.1818,2757
Al0.1818Co0.1818Cr0.1818Fe0.1818Nb0.0909Ni0.1818,2473
Al0.1818Co0.1818Cr0.1818Fe0.1818Ni0.1818Ti0.0909,2260
Al0.1818Co0.1818Cu0.1818Fe0.1818Ni0.2726,680
Al0.1818Cr0.1818Cu0.1818Fe0.1818Mn0.1818W0.0909,1510
Al0.1818Cr0.2726Nb0.1818Ti0.1818V0.1818,1700
Al0.1818Nb0.1818Ti0.1818V0.1818Zr0.2726,1535
Al0.1852C0.0741Co0.1852Cr0.1852Fe0.1852Ni0.1852,1056
Al0.1852Co0.1852Cr0.1852Fe0.1852Mo0.0741Ni0.1852,2670
Al0.1852Co0.1852Cr0.1852Fe0.1852Ni0.1852Si0.0741,1481
Al0.186C0.0003Co0.2359Fe0.3419Ni0.2359,1202
Al0.1887C0.0566Co0.1887Cr0.1887Fe0.1887Ni0.1887,867
Al0.1887Co0.1887Cr0.1887Fe0.1887Mo0.0566Ni0.1887,2649
Al0.18Co0.3Cr0.0999Fe0.0999Mo0.0201Ni0.3,1250.8
Al0.18Co0.3Cr0.0999Fe0.0999Mo0.03Ni0.2901,1198.3
Al0.18Co0.3Cr0.1001Fe0.1001Mo0.0099Ni0.3099,1159.7
Al0.1905Co0.1905Cr0.1905Fe0.1905Nb0.0476Ni0.1905,1959
Al0.1905Cr0.1905Fe0.1905Mo0.0952Ni0.1905Ti0.1429,618.8
