Composition,YS (MPa),radius,radius_diff,VEC,VEC_diff,Hmix,Smix,allen_en,allen_diff,ion,ion_diff,melting,melting_diff,GGA,GGA_diff,c11,c11_diff,delta
Al0.0154Co0.1231Cr0.1231Cu0.1231Fe0.1231Mn0.1231Ni0.1231Ti0.1231V0.1231,1862,1.313341,5.46,7.43,31.5,-8.85,17.69,1.7088482,0.165,7.345738030000001,6.81,1786.84356,15.61,-1.701668,192.33,256.87949000000003,30.34,0.59
Al0.0174Cu0.3275Mn0.3275Ni0.3275,330,1.292307,3.76,9.22,20.36,-0.96,9.7,1.8227662000000002,0.062,7.571218420000001,3.22,1522.6118999999999,11.11,-0.06830999999999998,3166.34,266.93595,35.45,0.69
Al0.0196Co0.1961Cr0.1961Fe0.1961Mn0.1961Ni0.1961,1631,1.2830679999999999,3.52,7.9,19.78,-5.24,13.92,1.7808268,0.082,7.4952312,6.19,1773.1954999999998,12.9,-1.850232,188.39,298.98769999999996,22.06,1.12
Al0.0196Cr0.1961Fe0.3922Mn0.2451Ni0.1471,354,1.290419,3.47,7.56,18.3,-3.46,11.56,1.7666128,0.074,7.48934354,6.23,1770.7985,13.32,-3.233589,125.13,290.18409,25.81,0.96
Al0.0303Co0.1212Cr0.1212Cu0.1212Fe0.1212Mn0.1212Ni0.1212Ti0.1212V0.1212,1465,1.314717,5.52,7.36,32.4,-9.52,17.89,1.7068899000000002,0.164,7.32297066,7.14,1773.3953700000002,16.67,-1.632261,201.85,254.53060499999998,31.22,0.59
Al0.0357Cu0.3214Mn0.3214Ni0.3214,515,1.294869,3.99,9.11,22.41,-1.93,10.09,1.8188561,0.067,7.541677340000001,4.28,1511.6373899999999,12.28,-0.013958999999999944,15607.9,263.952135,36.45,0.63
Al0.0385Co0.1923Cr0.1923Fe0.1923Mn0.1923Ni0.1923,220,1.2857750000000001,3.82,7.81,21.61,-6.24,14.22,1.7774165,0.085,7.465394659999999,6.76,1756.8324499999999,14.47,-1.7594309999999997,199.6,295.252075,23.86,0.97
Al0.0455Co0.1818Cr0.1818Cu0.1364Fe0.1818Ni0.1818Ti0.0909,750,1.2913700000000001,5.35,8.0,29.2,-7.28,15.55,1.7546795,0.146,7.4353148,7.43,1754.3617899999995,16.27,-1.5201339999999999,241.69,246.37320499999998,27.8,0.54
Al0.0476Mo0.2381Ta0.2381Ti0.2381V0.2381,1021,1.422857,4.16,4.9,16.55,-5.67,12.57,1.4372822,0.084,7.08432197,7.13,2485.4358,25.37,-0.050057999999999936,6385.92,270.569943,42.76,0.73
Al0.0566Co0.1887Cr0.1887Fe0.1887Mn0.1887Ni0.1887,1836,1.288618,4.07,7.72,23.25,-7.16,14.43,1.7744998,0.087,7.43829412,7.24,1741.5124,15.83,-1.6728540000000003,211.3,291.73384999999996,25.48,0.87
Al0.0566Cr0.1887Fe0.3774Mn0.2358Ni0.1415,550,1.295562,3.97,7.39,21.8,-5.26,12.16,1.7606408,0.079,7.43187514,7.27,1739.0439,16.16,-3.00396,137.65,283.23026000000004,28.72,0.77
Al0.0566Hf0.1887Nb0.1887Ta0.1887Ti0.1887Zr0.1887,1188,1.532041,5.5,4.32,13.32,-3.99,14.43,1.3374706,0.108,6.931238349999999,7.22,2424.9838000000004,24.15,-2.8654379999999997,125.26,194.86093100000002,25.43,0.48
