Times,MAE,MSE,R2,random_state
0,250.96479870403772,124028.96361758004,0.6025380666094249,8608948
1,243.1957956250406,161240.81833548684,0.48371487559544846,5111916
2,254.37729410631948,158184.99255474564,0.6103179285226089,3299854
3,293.6825838931496,202411.03999306945,0.3990151646280278,856554
4,306.148283743318,230733.30506999115,0.3563659084686488,5708626
5,217.7166400985041,119186.92700339119,0.6459849337013566,11719769
6,274.9583483737934,198086.65754462781,0.4060188115569199,9601761
7,273.5028390951019,172580.35834760312,0.48486395321222575,10230266
8,223.69497424901948,102314.81815486841,0.6914013936750494,1932333
9,229.52277920399237,110522.52190550031,0.6874150652579999,2898488
10,238.22130745409453,128409.92422969124,0.5525970607055123,799636
11,263.363733109737,184016.32822686387,0.4608029908488682,10140082
12,206.5729428393798,98664.95819079787,0.6383490110105647,6637964
13,277.0886956002295,170813.7958742705,0.5339036565168042,8613315
14,228.01082748382134,129245.98547169528,0.644083899315629,11373533
15,229.76705944693734,133360.26584274328,0.6467141603187057,10953368
16,253.5619275111705,176555.945198069,0.5895742282952758,10168361
17,273.377411414814,146828.15349672933,0.5815161478385473,7842668
18,305.55595212551185,210091.77465795816,0.43818905033053746,6459697
19,193.22770380806807,77637.89419716338,0.7582563319038382,12030804
20,263.4972409168534,161532.32166609954,0.5830641044699085,4100010
21,253.94503515430387,141258.10881895857,0.6135301234573427,5509039
22,233.02603624061697,115775.27187167677,0.604530837998378,4625701
23,281.10905609036587,168211.25544348787,0.5233741156186282,8471138
24,249.52495423325055,136147.35358238666,0.5570279920647426,4140004
25,226.1229735666461,112443.24887817065,0.6566676906614298,2907262
26,239.7636039070471,162803.9228004007,0.5883905421439529,1513044
27,253.02537964681264,157446.32786602425,0.6000748719335012,8719943
28,280.74719785037263,181835.9183624691,0.5041776943046388,11625262
29,246.3987686311048,139488.50828489213,0.5776690448092332,4989649
30,241.50480259975387,155595.0820463458,0.5030067003422571,6743014
31,231.28542763248987,135371.88800958145,0.5984195654522717,5656649
32,223.50359082647773,110907.78177155768,0.6472898995896283,11254874
33,298.67731505954714,228664.60046889653,0.3339935658158858,6492540
34,281.3557263909342,195422.57177006558,0.3456131652490637,11638597
35,279.1109232462247,174373.41110388588,0.4808240860215305,7288274
36,244.8147760621923,137502.43837168213,0.5561905574406709,10838846
37,225.38835893150988,145090.4575066214,0.584990148282777,578650
38,215.63890688749456,128864.6565214842,0.6253859036995139,5949622
39,246.8495965480621,162842.92166235234,0.6212642909481416,8217326
40,254.74736249943632,139323.4140030199,0.6603240538137161,3084305
41,258.05980212708147,172674.59624470904,0.49860852682441426,11987014
42,274.87478249901915,155017.40237802846,0.5116813518563991,4598218
43,296.4752430363085,241873.5839629346,0.37655237741875336,9860192
44,252.5823250889803,164813.04454016135,0.575469512901885,8726102
45,229.9566219322325,166757.4327233616,0.5863319834854216,2619428
46,259.076128776382,171651.09568758772,0.47080192430859613,1735976
47,247.1041372471122,123854.77962272112,0.6985557349898444,11275728
48,224.80572507579262,117322.70441418751,0.696265338608327,3211745
49,272.58152581357183,178305.62239927723,0.53644249708253,8071261
50,241.58835584902155,149218.40833381322,0.598821185022915,11392894
51,272.78406091927513,167571.88897273978,0.5484009116618895,3765789
52,219.793947850856,108102.83382292467,0.6830761367063016,3297240
53,259.50626145641576,171731.46120952218,0.5168721751854974,5898863
54,258.2246886163684,189015.88011744956,0.5089904298335564,4224121
55,273.760804407697,170691.83818583956,0.5330730838059055,10880091
56,283.62915506197345,166447.4173558049,0.36646047466467235,12167385
57,282.1049558323635,165266.08336519156,0.5135952347232926,8068339
58,270.1990782041784,161654.49044509773,0.5719138286671583,5438880
59,261.83087817416725,172327.05129813234,0.5424228063484349,3354391
60,298.91256699116457,187394.2325106226,0.5470114485289715,4891083
61,276.83871706801864,192890.62401941762,0.502172860985804,5247760
62,247.21849298513945,141495.29867039443,0.5689979334513525,11276827
63,292.8641224194753,228838.72247892266,0.41150187254318193,11466372
64,243.24755332051902,128853.40662426209,0.6407714948736738,7228129
65,224.39126796274982,103140.32879797203,0.648887335004511,6304693
66,249.12653058161214,166892.27086064886,0.4534034642247189,11976232
67,202.72709663651938,101841.16565886291,0.709771913591704,7250633
68,280.8406129668992,190681.7975417689,0.44294807939154,11645884
69,233.43669580765712,135879.40351889466,0.6499991830192318,9374573
70,224.168221940975,106079.30165652372,0.655879440773983,7836957
71,251.4211883602286,144987.18414335846,0.5443226933836132,5371587
72,257.6606654007841,185332.063892545,0.44101119931089583,6013006
73,268.4086609268497,157967.28286783685,0.494544119717647,2469630
74,212.7056567108659,97292.04865480251,0.6888476955665803,6692881
75,259.09677728961344,143355.24220903526,0.5652965955664067,865255
76,286.0843895327521,199796.08192535336,0.43872040183263317,12276036
77,246.37250592908603,159122.33939640527,0.6072988801154471,7725837
78,246.88069839048632,155547.03227041967,0.5975933792448778,8652888
79,288.4416936868113,175901.2909824224,0.49402891118297076,1112958
80,291.77886007132525,204127.37237210778,0.5345930164613404,5848538
81,247.10277030932866,145457.9864105089,0.5759907403361741,1380016
82,259.51438506443645,173874.1452523319,0.44249902139283603,7383737
83,276.4343671184521,179270.8443308984,0.5500996229641247,11616025
84,262.3996352128613,176888.27963065385,0.5477095002050353,5861979
85,223.55025926043794,111621.47630311297,0.6961228040776969,7531648
86,264.05025988434267,156962.47046926143,0.5399326460308329,9980661
87,262.2754013811392,155698.8646439809,0.61567844455979,10631887
88,264.94853862169396,155433.65653697078,0.5640187201491008,8809988
89,266.9216814350911,133520.44304509385,0.6200301112087652,8961971
90,279.95330805565186,187385.39597542086,0.4823803431921726,10901083
91,295.2816076228282,193227.85665057466,0.4891447481507777,10745905
92,217.10204201176123,120392.09961591208,0.5468324111976044,11342261
93,295.4445349019627,193772.93332864984,0.4453188585055836,5191027
94,246.08887959308294,136433.2172565778,0.6323634900095279,7086324
95,224.06339409624798,104137.54856069705,0.6572810440784967,4401111
96,259.9223396533683,151405.30615748029,0.5075297285745095,8639749
97,229.81282391446,137009.60288616124,0.6264752354273164,11077792
98,230.35436374869127,138761.56951735503,0.6545867055592424,5905276
99,281.4697337732264,189474.87445289505,0.47050365796602656,2197869
100,266.39078391608285,193893.0127855278,0.34835903640529753,9961909
101,224.93399611267088,113091.35677885513,0.7172488046940054,8502275
102,226.3133097205862,129022.89595013639,0.6404075727451699,5609718
103,301.7388734310431,212936.33872594955,0.4839787922482688,6582126
104,211.68116612616913,96870.51833441877,0.6877367126316186,10415403
105,252.1119514556242,166128.0671728189,0.5153312265544006,3936754
