Times,random_state,MAE,MSE,R2,type
0,12268064,-281.8646869565217,185698.38689923155,0.5883292216436917,tpot
0,12268064,-283.96742779275644,190519.41573501335,0.5776415860295951,auto_sklearn
1,3611815,-243.77128381642515,148195.89975616205,0.5743969936100866,tpot
1,3611815,-260.47624818940096,153647.8031815066,0.5587397015244624,auto_sklearn
2,4252765,-201.66474263914373,69222.57347701794,0.8043758193151016,tpot
2,4252765,-196.68908936984297,75701.24106278173,0.786066993526999,auto_sklearn
3,5120842,-300.99695431032046,187583.36363648306,0.49975489527223194,tpot
3,5120842,-308.28302695011746,204237.15760198678,0.4553427536788406,auto_sklearn
4,3017251,-223.35359420289856,98395.2871318681,0.648826157606474,tpot
4,3017251,-241.25395948769395,123462.8155543801,0.5593598779497593,auto_sklearn
5,10800471,-249.86531439613526,168164.97280707842,0.651500683175093,tpot
5,10800471,-308.1991165559188,205400.82681551043,0.5743343775722158,auto_sklearn
6,9984216,-227.43697850241543,131377.04559585225,0.6947267795671974,tpot
6,9984216,-265.5354058196579,149435.1620375022,0.6527661818380379,auto_sklearn
7,11526489,-208.64706086956522,103862.43865626426,0.7001210209705567,tpot
7,11526489,-267.0978989642599,126289.24478417133,0.6353687600806917,auto_sklearn
